Mode,MNLC,MASC,Station,Coverage,Source,Entries_Monday,Entries_midweek,Entries_Friday,Entries_Saturday,Entries_Sunday,Exits_Monday,Exits_midweek,Exits_Friday,Exits_Saturday,Exits_Sunday,En/Ex_weekly,En/Ex_12week,En/Ex_annual
LU,500,ACTu,Acton Town,Station entry/exit,Gateline,"7,305","8,194","7,973","7,211","4,662","7,444","8,170","7,996","8,129","4,991","104,801","1,257,612","4,931,972"
LU,502,ALDu,Aldgate,Station entry/exit,Gateline,"10,033","12,378","9,332","6,280","5,242","11,065","14,274","11,336","7,703","5,724","146,673","1,760,079","6,902,494"
LU,503,ALEu,Aldgate East,Station entry/exit,Gateline,"15,101","17,402","17,181","15,537","12,077","14,180","16,538","16,344","14,431","10,699","217,370","2,608,434","10,229,488"
LU,505,ALPu,Alperton,Station entry/exit,Gateline,"3,693","3,734","3,746","3,024","2,214","3,950","3,924","3,949","3,066","2,320","48,937","587,239","2,302,973"
LU,506,AMEu,Amersham,Station entry/exit,Gateline,"2,614","3,129","2,479","2,194","1,203","2,519","3,043","2,509","2,022","1,154","35,213","422,557","1,657,141"
LU,507,ANGu,Angel,Station entry/exit,Gateline,"16,134","20,184","19,296","18,601","11,518","17,210","22,019","21,533","20,241","11,748","262,888","3,154,653","12,371,592"
LU,508,ARCu,Archway,Station entry/exit,Gateline,"10,424","11,969","11,663","9,796","6,450","10,090","11,434","10,710","8,939","6,191","144,471","1,733,653","6,798,862"
LU,509,AGRu,Arnos Grove,Station entry/exit,Gateline,"5,066","5,623","5,517","5,201","3,382","4,740","5,337","5,212","4,894","3,221","70,114","841,371","3,299,601"
LU,510,ARLu,Arsenal,Station entry/exit,Gateline,"2,968","3,583","3,674","3,694","2,353","2,815","3,261","3,217","3,422","2,281","44,955","539,463","2,115,609"
LU,511,BSTu,Baker Street,Station entry/exit,Gateline,"31,729","34,826","33,309","28,326","18,450","32,204","35,311","34,363","28,351","18,870","436,012","5,232,149","20,518,901"
LU,512,BALu,Balham LU,Station entry/exit,Gateline,"12,665","16,109","14,845","14,056","8,065","12,852","15,988","14,294","14,160","8,618","195,844","2,350,131","9,216,500"
LU,513,BNKu,Bank and Monument,Station entry/exit,Gateline,"50,401","72,844","46,483","26,455","15,338","52,864","76,118","49,391","27,689","15,640","731,147","8,773,764","34,408,044"
LU,501,BARu,Barbican,Station entry/exit,Gateline,"8,206","9,899","8,261","5,290","3,543","8,824","10,612","8,767","5,768","3,747","113,936","1,367,228","5,361,855"
LU,514,BKGu,Barking,Station entry/exit,Gateline,"23,928","24,797","24,638","19,467","13,524","23,883","24,721","24,284","17,913","13,119","309,312","3,711,742","14,556,327"
LU,515,BDEu,Barkingside,Station entry/exit,Gateline,"1,783","2,010","1,756","1,290",822,"1,837","2,065","1,819","1,322",860,"23,715","284,581","1,116,039"
LU,516,BCTu,Barons Court,Station entry/exit,Gateline,"7,986","9,355","8,259","6,370","4,248","7,953","9,101","7,986","6,139","4,287","108,597","1,303,162","5,110,605"
LU,517,BAYu,Bayswater,Station entry/exit,Gateline,"5,120","5,284","5,720","5,603","4,577","4,670","4,939","5,484","5,193","3,888","70,927","851,122","3,337,844"
LU,518,BECu,Becontree,Station entry/exit,Gateline,"4,509","4,848","4,800","3,296","2,196","4,360","4,571","4,474","2,821","2,117","56,829","681,947","2,674,391"
LU,519,BPKu,Belsize Park,Station entry/exit,Gateline,"7,066","8,201","7,483","5,838","4,253","7,033","8,068","7,281","5,636","4,194","97,594","1,171,123","4,592,789"
LU,787,BERu,Bermondsey,Station entry/exit,Gateline,"9,770","11,160","11,046","10,760","6,734","9,515","10,818","10,621","10,857","6,726","141,963","1,703,552","6,680,814"
LU,520,BNGu,Bethnal Green LU,Station entry/exit,Gateline,"14,395","16,612","17,347","18,081","11,706","13,644","15,576","16,629","17,381","10,952","216,699","2,600,392","10,197,951"
LU,521,BLFu,Blackfriars LU,Station entry/exit,Gateline,"13,917","17,936","12,905","12,142","8,707","13,359","17,328","12,385","11,298","9,389","199,895","2,398,741","9,407,136"
LU,522,BHRu,Blackhorse Road,Station entry/exit,Gateline,"13,037","14,673","14,419","12,989","8,502","12,387","13,846","13,299","12,032","8,509","180,730","2,168,765","8,505,240"
LU,524,BDSu,Bond Street,Station entry/exit,Gateline,"51,918","62,431","53,547","42,225","39,965","52,460","62,659","54,833","43,216","39,083","752,517","9,030,204","35,413,724"
LU,525,BORu,Borough,Station entry/exit,Gateline,"5,182","6,708","5,877","5,231","3,289","5,169","6,710","5,840","5,241","3,455","79,535","954,425","3,742,967"
LU,526,BOSu,Boston Manor,Station entry/exit,Gateline,"2,244","2,744","2,361","1,873","1,256","2,311","2,669","2,360","1,794","1,305","31,740","380,877","1,493,683"
LU,527,BGRu,Bounds Green,Station entry/exit,Gateline,"6,312","7,118","6,907","6,199","4,125","6,254","6,740","6,679","5,882","4,189","88,121","1,057,456","4,147,021"
LU,528,BWRu,Bow Road,Station entry/exit,Gateline,"5,888","6,579","6,298","5,523","3,827","5,835","6,407","5,724","5,207","4,045","81,305","975,659","3,826,239"
LU,529,BTXu,Brent Cross,Station entry/exit,Gateline,"2,836","3,284","3,172","3,305","2,623","2,830","3,181","3,194","3,322","2,621","43,298","519,574","2,037,612"
LU,778,BRXu,Brixton LU,Station entry/exit,Gateline,"28,532","33,779","35,073","38,727","24,319","28,248","32,960","35,427","38,489","23,904","452,935","5,435,221","21,315,288"
LU,530,BBBu,Bromley-by-Bow,Station entry/exit,Gateline,"5,529","6,005","5,702","4,348","3,200","5,543","5,894","5,425","4,069","3,278","72,791","873,496","3,425,585"
LU,531,BHLu,Buckhurst Hill,Station entry/exit,Gateline,"2,586","3,074","2,763","2,303","1,299","2,502","2,989","2,638","2,125","1,325","35,729","428,746","1,681,412"
LU,532,BURu,Burnt Oak,Station entry/exit,Gateline,"5,089","5,488","5,252","3,957","2,901","4,885","5,264","5,124","3,833","2,804","66,103","793,234","3,110,822"
LU,534,CRDu,Caledonian Road,Station entry/exit,Gateline,"6,242","7,300","7,183","6,376","4,082","5,936","6,901","6,654","5,810","3,928","88,815","1,065,779","4,179,663"
LU,535,CTNu,Camden Town,Station entry/exit,Gateline,"21,280","22,501","28,838","35,397","25,120","21,868","23,306","29,583","42,174","26,680","368,362","4,420,347","17,335,262"
LU,788,CWRu,Canada Water,Station entry/exit,Gateline,"13,529","15,065","18,212","21,705","11,727","13,882","15,341","19,642","22,614","11,993","224,520","2,694,235","10,565,973"
LU,852,CWFu,Canary Wharf LU,Station entry/exit,Gateline,"45,557","54,391","44,681","39,910","26,904","46,753","57,109","46,053","40,757","26,911","652,027","7,824,325","30,684,632"
LU,884,CNTu,Canning Town,Station entry/exit,Gateline,"17,716","17,623","16,817","18,727","17,202","17,622","17,661","18,304","17,818","16,323","246,380","2,956,558","11,594,723"
LU,536,CSTu,Cannon Street LU,Station entry/exit,Gateline,"6,153","8,308","5,568","3,611","1,924","5,754","7,570","5,044","3,141","1,684","80,514","966,163","3,788,997"
LU,537,CPKu,Canons Park,Station entry/exit,Gateline,"3,251","3,615","3,460","2,784","1,671","3,165","3,545","3,435","2,731","1,702","43,679","524,144","2,055,535"
LU,539,CLFu,Chalfont & Latimer,Station entry/exit,Scaled,"2,455","2,455","2,033","1,524",792,"2,258","2,258","1,915","1,664",911,"27,691","332,289","1,303,138"
LU,540,CHFu,Chalk Farm,Station entry/exit,Gateline,"5,277","6,502","7,221","8,316","5,273","4,550","5,983","6,166","6,520","4,271","85,051","1,020,613","4,002,534"
LU,541,CYLu,Chancery Lane,Station entry/exit,Gateline,"12,995","18,015","12,642","5,794","2,681","14,017","18,968","13,477","5,946","2,762","181,262","2,175,139","8,530,236"
LU,718,CHXu,Charing Cross LU,Station entry/exit,Gateline,"18,036","22,891","22,131","24,861","15,843","17,048","21,737","21,370","23,401","13,669","290,240","3,482,884","13,658,817"
LU,543,CHMu,Chesham,Station entry/exit,Gateline,"1,394","1,649","1,423","1,167",636,"1,300","1,544","1,357","1,031",599,"18,486","221,827","869,938"
LU,544,CHGu,Chigwell,Station entry/exit,Gateline,546,693,542,276,166,460,560,470,255,172,"6,644","79,724","312,653"
LU,545,CHPu,Chiswick Park,Station entry/exit,Gateline,"2,691","3,347","2,933","2,276","1,531","3,020","3,653","3,122","2,140","1,688","40,403","484,840","1,901,398"
LU,546,CWDu,Chorleywood,Station entry/exit,Scaled,"2,796","2,796","2,269","1,695","1,180","2,031","2,031","1,732","1,267","1,027","28,479","341,743","1,340,211"
LU,547,CPCu,Clapham Common,Station entry/exit,Gateline,"9,606","12,082","11,900","13,337","7,503","10,485","13,130","12,648","14,557","8,092","163,764","1,965,171","7,706,807"
LU,548,CPNu,Clapham North,Station entry/exit,Gateline,"6,615","8,340","8,670","9,458","4,964","6,844","8,604","8,552","9,659","5,226","110,819","1,329,827","5,215,179"
LU,549,CPSu,Clapham South,Station entry/exit,Gateline,"8,622","10,907","9,691","9,111","5,519","8,705","10,647","9,233","8,873","5,898","130,314","1,563,768","6,132,625"
LU,550,CFSu,Cockfosters,Station entry/exit,Gateline,"1,940","2,158","2,328","2,611","1,593","1,977","2,169","2,292","2,497","1,764","29,981","359,768","1,410,899"
LU,551,COLu,Colindale,Station entry/exit,Gateline,"9,379","10,352","9,833","8,264","5,791","9,151","10,015","9,365","7,843","5,655","126,382","1,516,587","5,947,593"
LU,552,CLWu,Colliers Wood,Station entry/exit,Gateline,"7,419","8,532","8,322","7,725","4,929","7,228","8,192","7,875","7,369","4,913","105,952","1,271,429","4,986,160"
LU,553,COVu,Covent Garden,Station entry/exit,Gateline,"14,058","17,490","18,767","21,701","16,686","16,179","21,156","21,914","30,523","20,197","275,963","3,311,556","12,986,920"
LU,554,CRXu,Croxley,Station entry/exit,Gateline,"1,299","1,570","1,372",873,474,"1,311","1,542","1,314",793,460,"17,228","206,737","810,760"
LU,555,DGEu,Dagenham East,Station entry/exit,Gateline,"4,105","4,251","4,174","2,809","2,008","3,760","3,921","3,832","2,426","1,849","49,479","593,747","2,328,494"
LU,556,DGHu,Dagenham Heathway,Station entry/exit,Gateline,"7,554","7,677","7,822","5,349","3,431","7,582","7,791","7,675","5,268","3,550","94,636","1,135,636","4,453,620"
